country_code,country,import_value,growth_percent,predicted_demand_2026,predicted_growth_2026,gdp_per_capita,logistics_lpi,political_stability,applied_tariff
IDN,Indonesia,6258056.943,74.52365328952341,5653189.471470483,-9.665419746717017,5059.62596411213,3.0,55.4895207,
IND,India,2281091.903,25.99374852271929,2288152.8439500495,0.3095421513163625,2702.47987141553,3.4,52.4723123,
IRL,Ireland,8962103.623,6.859244662780406,9053185.93320826,1.0163050332793615,131592.462547877,3.6,78.0218154,
ISL,Iceland,762649.895,3.6279452239061136,824168.9510925342,8.06648719102416,98323.4849517418,3.6,86.4880288,
ISR,Israel,6096000.0,32.23427331887202,5899949.893788478,-3.216045049401602,60336.8477964194,3.6,48.1722073,
ITA,Italy,219819753.703,15.006993470806673,201760109.00331214,-8.215660510696585,43308.6403060733,3.7,71.1675431,
JAM,Jamaica,39419.006,94.22324509798125,39230.43699698636,-0.4783707712306072,8002.92104076242,2.5,74.0392932,
JPN,Japan,110733959.145,25.737752040551992,101112905.20542343,-8.688440306715963,35951.0449549304,3.9,85.270442,
KAZ,Kazakhstan,4047748.5,10.47080308879837,4135007.342600339,2.155737753972093,14692.1331757237,2.7,61.0644717,
KGZ,Kyrgyzstan,466646.0,-3.2442934067050526,518974.4663907779,11.213739406483267,3080.96893823359,2.3,57.2762971,
KOR,Rep. of Korea,80220290.0,-3.262003810006539,78716343.31013824,-1.874770946180523,36226.9663637512,3.8,76.8155059,
KWT,Kuwait,8416993.623,-0.6568007594325398,8668590.459859496,2.989153231291409,32312.3119953634,3.2,70.9153025,
LKA,Sri Lanka,252937.36,17.156803604995176,272481.0327549011,7.726684881545816,5002.07904353724,2.8,59.9106677,
LTU,Lithuania,4245720.0,26.194745660394858,4193319.2921409965,-1.234200744726535,32958.6706396386,3.4,81.941602,
LUX,Luxembourg,2592198.216,-14.07471066912005,2846252.2717839275,9.80071871880061,147252.179121515,3.6,84.2238592,
LVA,Latvia,4811009.54,39.951714781849596,4618405.0668282695,-4.00341075132706,26311.9730706362,3.5,76.4873804,
MDA,Rep. of Moldova,441185.0,-25.691778826152937,523953.3040546174,18.760452883624197,8621.71721623786,2.5,60.0013863,
MEX,Mexico,16177347.0,34.983655371098635,15212546.236588798,-5.9638997878403766,13889.2339628708,2.9,53.6732923,
MKD,North Macedonia,558280.458,20.080543892061304,586390.1123937023,5.0350417950152,10489.9255355525,3.1,68.5558552,
