country_code,country,import_value,growth_percent,predicted_demand_2026,predicted_growth_2026,gdp_per_capita,logistics_lpi,political_stability,available_indicators,data_coverage_percent
MAC,"China, Macao SAR",7825466.045,-25.49844731326274,9661547.831504147,23.46290656615005,75901.7461294198,,83.8962136,4,80.0
TTO,Trinidad and Tobago,9624694.749,45.69663023894952,8868094.75802904,-7.861028434689528,18967.2704636681,2.5,72.0440017,5,100.0
TGO,Togo,6862656.336,-15.50106218021246,8044086.067986789,17.215341613265203,1383.89974929887,2.5,52.0677499,5,100.0
FJI,Fiji,6279551.402,-20.67950920226909,7588199.297048699,20.839830925373157,6642.00449450523,2.3,77.8248628,5,100.0
KGZ,Kyrgyzstan,6151720.0,-22.3888663830468,7510265.801670772,22.08399929890782,3080.96893823359,2.3,57.2762971,5,100.0
BRB,Barbados,8504804.0,72.31607975024636,7356231.554483549,-13.50498430671008,28364.8181499736,,87.6259794,4,80.0
PYF,French Polynesia,4845893.748,10.112435926344896,5116345.400753449,5.581047930839796,,,83.4942443,3,60.0
GUY,Guyana,3716055.296,-5.001827847816447,4212451.707396715,13.35815459826556,32413.7930757518,2.4,69.5925307,5,100.0
LKA,Sri Lanka,2778609.789,-36.838266756201655,3806170.5641056616,36.9811111719819,5002.07904353724,2.8,59.9106677,5,100.0
SUR,Suriname,2860415.85,33.897568337062644,2825200.6782835703,-1.2311207028317144,7069.87230892274,,74.0632877,4,80.0
BOL,Bolivia (Plurinational State of),2080165.0,-3.350408288903602,2379974.8313792776,14.412790878573462,5147.81081955367,2.4,56.5672297,5,100.0
MMR,Myanmar,445914.23,-76.3331038573944,1015820.400547296,127.80623093084424,1488.87527836542,,30.1870415,4,80.0
PAK,Pakistan,976787.612,35.485890968404846,990297.6220281444,1.3831062005876815,1595.90912252837,,30.6476878,4,80.0
BLZ,Belize,742966.825,2.1029677312180177,855173.2189267923,15.102477008551803,7865.47937690933,,79.2986992,4,80.0
