reporterISO,reporterDesc,refYear,import_value,previous_year,previous_import_value,growth_percent,next_year,next_year_import_value
GTM,Guatemala,2024,26046926.0,2023.0,20303185.0,28.28985206015706,2025.0,23611522.0
GTM,Guatemala,2025,23611522.0,2024.0,26046926.0,-9.350063036229304,,
GUY,Guyana,2021,3709485.727,,,,2022.0,4005650.986
GUY,Guyana,2022,4005650.986,2021.0,3709485.727,7.9839978044482205,2023.0,4899494.749
GUY,Guyana,2023,4899494.749,2022.0,4005650.986,22.31456924539955,2024.0,3911712.417
GUY,Guyana,2024,3911712.417,2023.0,4899494.749,-20.160901942013695,2025.0,3716055.296
GUY,Guyana,2025,3716055.296,2024.0,3911712.417,-5.001827847816447,,
HKG,"China, Hong Kong SAR",2021,222059530.158,,,,2022.0,239366372.374
HKG,"China, Hong Kong SAR",2022,239366372.374,2021.0,222059530.158,7.793784938518892,2023.0,226098805.333
HKG,"China, Hong Kong SAR",2023,226098805.333,2022.0,239366372.374,-5.542786528205385,2024.0,248471363.169
HKG,"China, Hong Kong SAR",2024,248471363.169,2023.0,226098805.333,9.895035846407737,2025.0,239070602.048
HKG,"China, Hong Kong SAR",2025,239070602.048,2024.0,248471363.169,-3.783438461922866,,
HND,Honduras,2021,8552010.57,,,,2023.0,
HND,Honduras,2023,10306613.1,2021.0,,,2024.0,9954250.62
HND,Honduras,2024,9954250.62,2023.0,10306613.1,-3.4187999159491147,,
HRV,Croatia,2021,92841070.0,,,,2022.0,93252001.0
HRV,Croatia,2022,93252001.0,2021.0,92841070.0,0.4426176906405754,2023.0,107039697.0
HRV,Croatia,2023,107039697.0,2022.0,93252001.0,14.785415703841037,2024.0,111701239.0
HRV,Croatia,2024,111701239.0,2023.0,107039697.0,4.3549656161676165,2025.0,131843698.0
HRV,Croatia,2025,131843698.0,2024.0,111701239.0,18.032440087795266,,
HUN,Hungary,2021,129163152.0,,,,2022.0,136409232.0
HUN,Hungary,2022,136409232.0,2021.0,129163152.0,5.610021037578891,2023.0,130143110.01
HUN,Hungary,2023,130143110.01,2022.0,136409232.0,-4.593620166412194,2024.0,137629982.633
HUN,Hungary,2024,137629982.633,2023.0,130143110.01,5.752799838904035,2025.0,148739987.981
HUN,Hungary,2025,148739987.981,2024.0,137629982.633,8.072372847438068,,
IDN,Indonesia,2021,48332273.0,,,,2022.0,52807085.0
IDN,Indonesia,2022,52807085.0,2021.0,48332273.0,9.258434835042829,2023.0,56025520.0
IDN,Indonesia,2023,56025520.0,2022.0,52807085.0,6.094703011915921,2024.0,65959882.0
IDN,Indonesia,2024,65959882.0,2023.0,56025520.0,17.731851484823345,2025.0,61344884.587
IDN,Indonesia,2025,61344884.587,2024.0,65959882.0,-6.996673239955163,,
IND,India,2021,66417450.806,,,,2022.0,69967248.18
IND,India,2022,69967248.18,2021.0,66417450.806,5.344675730432166,2023.0,61476656.877
IND,India,2023,61476656.877,2022.0,69967248.18,-12.135093953040487,2024.0,48455243.059
IND,India,2024,48455243.059,2023.0,61476656.877,-21.181070148386098,2025.0,73693910.889
IND,India,2025,73693910.889,2024.0,48455243.059,52.086557071376006,,
IRL,Ireland,2021,153582411.774,,,,2022.0,176905768.357
IRL,Ireland,2022,176905768.357,2021.0,153582411.774,15.186215865213038,2023.0,149713912.838
