reporterISO,reporterDesc,refYear,previous_import_value,import_value,growth_percent,next_year_import_value
JOR,Jordan,2023,42795690.097,41206043.482,-3.714501650509515,37840065.886
JPN,Japan,2022,1195298436.735,1157591696.422,-3.1545879383894504,933398874.273
JPN,Japan,2023,1157591696.422,933398874.273,-19.367176081338307,881636585.987
JPN,Japan,2024,933398874.273,881636585.987,-5.545570035780931,867743868.685
KAZ,Kazakhstan,2022,63514128.993,55690602.465,-12.317773465589429,71926345.94
KAZ,Kazakhstan,2023,55690602.465,71926345.94,29.153470704871093,88348075.14
KAZ,Kazakhstan,2024,71926345.94,88348075.14,22.83131304028539,68475236.62
KEN,Kenya,2022,16549825.295,17579567.525,6.222073113431006,18504786.698
KEN,Kenya,2023,17579567.525,18504786.698,5.26303716905573,17302463.822
KGZ,Kyrgyzstan,2022,4161702.0,4358868.0,4.737628979681871,4703310.0
KGZ,Kyrgyzstan,2023,4358868.0,4703310.0,7.90209751706177,7926337.0
KGZ,Kyrgyzstan,2024,4703310.0,7926337.0,68.52678220232134,6151720.0
KHM,Cambodia,2022,3454421.36,4521662.3,30.894926495012175,4851057.06
KHM,Cambodia,2023,4521662.3,4851057.06,7.2848155865156,5239698.04
KOR,Rep. of Korea,2022,287104360.0,235586244.0,-17.944038188761745,192230718.0
KOR,Rep. of Korea,2023,235586244.0,192230718.0,-18.403250233914335,217073667.0
KOR,Rep. of Korea,2024,192230718.0,217073667.0,12.923506325352227,221678645.0
KWT,Kuwait,2022,97978424.0,85511391.772,-12.72426287240546,90050532.42
KWT,Kuwait,2023,85511391.772,90050532.42,5.3082291773507375,81156993.0
KWT,Kuwait,2024,90050532.42,81156993.0,-9.876165282977015,71316574.884
LAO,Lao People's Dem. Rep.,2022,1567613.26,1528704.6,-2.4820318246095927,1878946.09
LBN,Lebanon,2022,17574829.0,21531057.0,22.510762409125004,16674977.0
LBN,Lebanon,2023,21531057.0,16674977.0,-22.553839321497314,12961642.0
LBR,Liberia,2022,1372684.89,1595395.28,16.224436622158795,1634858.97
LKA,Sri Lanka,2022,2129937.024,5321072.13,149.8229792732125,5152405.284
LKA,Sri Lanka,2023,5321072.13,5152405.284,-3.1697906339036965,4399198.132
LKA,Sri Lanka,2024,5152405.284,4399198.132,-14.618554063263781,2778609.789
LSO,Lesotho,2022,2771850.067,2520652.764,-9.062441940514955,2438224.801
LSO,Lesotho,2023,2520652.764,2438224.801,-3.2701038467986296,2584755.392
LTU,Lithuania,2022,66762253.0,71433866.0,6.997386681962336,63956351.0
LTU,Lithuania,2023,71433866.0,63956351.0,-10.467745088863033,57191558.0
LTU,Lithuania,2024,63956351.0,57191558.0,-10.577202880133045,58843710.0
LUX,Luxembourg,2022,61575397.595,55359831.406,-10.094236386229534,51712488.261
LUX,Luxembourg,2023,55359831.406,51712488.261,-6.588428924667385,44867118.834
LUX,Luxembourg,2024,51712488.261,44867118.834,-13.2373623029905,48382652.428
LVA,Latvia,2022,46582157.328,42084853.668,-9.654562858334442,37734699.43
LVA,Latvia,2023,42084853.668,37734699.43,-10.336626740626448,31346695.459
LVA,Latvia,2024,37734699.43,31346695.459,-16.928726258572986,35578111.926
MAC,"China, Macao SAR",2022,19477658.101,15353515.279,-21.173709901953067,15706317.449
MAC,"China, Macao SAR",2023,15353515.279,15706317.449,2.297859243235003,10503762.355
MAC,"China, Macao SAR",2024,15706317.449,10503762.355,-33.12396499620755,7825466.045
MAR,Morocco,2022,61719166.087,58010688.174,-6.008632566053282,61204877.537
MAR,Morocco,2023,58010688.174,61204877.537,5.5062083618439335,56343520.754
MAR,Morocco,2024,61204877.537,56343520.754,-7.94276041163742,64685976.347
MDA,Rep. of Moldova,2022,13714367.0,11469571.0,-16.368207150938865,11471635.0
MDA,Rep. of Moldova,2023,11469571.0,11471635.0,0.017995442026558797,12383578.0
MDA,Rep. of Moldova,2024,11471635.0,12383578.0,7.949546860582646,13441852.0
MDG,Madagascar,2022,2868309.191,2438652.503,-14.979441175593964,2089624.198
MDG,Madagascar,2023,2438652.503,2089624.198,-14.31234276185843,2338284.749
MDV,Maldives,2022,9116662.466,9692567.941,6.3170647936983695,9933215.969
MDV,Maldives,2023,9692567.941,9933215.969,2.482809813300858,10713616.805
MDV,Maldives,2024,9933215.969,10713616.805,7.856477080892101,12019052.331
MEX,Mexico,2022,114693207.0,149200744.0,30.08681848088876,123124112.0
MEX,Mexico,2023,149200744.0,123124112.0,-17.47754823528226,175117187.0
MEX,Mexico,2024,123124112.0,175117187.0,42.22818272995951,174745291.0
MKD,North Macedonia,2022,16261137.25,12751202.16,-21.584806991282235,14559490.512
MKD,North Macedonia,2023,12751202.16,14559490.512,14.181316626541507,15349718.65
MKD,North Macedonia,2024,14559490.512,15349718.65,5.427580981276031,16875617.088
MLI,Mali,2022,11135937.521,10906363.377,-2.0615609917626747,8138463.843
MLT,Malta,2022,14043934.136,16983289.247,20.929713017275585,28076564.83
MLT,Malta,2023,16983289.247,28076564.83,65.31876965446818,19825395.718
MLT,Malta,2024,28076564.83,19825395.718,-29.388100581249066,22387698.204
MMR,Myanmar,2022,1124668.88,2617684.154,132.75154141368262,1556890.885
MMR,Myanmar,2023,2617684.154,1556890.885,-40.52411240596141,1884126.365
MMR,Myanmar,2024,1556890.885,1884126.365,21.01852372268208,445914.23
MNE,Montenegro,2022,15297130.014,20090377.549,31.33429297268963,26295525.703
MNE,Montenegro,2023,20090377.549,26295525.703,30.886169953082167,25796617.141
MNE,Montenegro,2024,26295525.703,25796617.141,-1.8973135111844646,41015674.156
MNG,Mongolia,2022,6519382.5,10620033.493,62.89937724930238,7830513.328
MOZ,Mozambique,2022,7036622.701,5461295.03,-22.387553488921956,5783000.0
MOZ,Mozambique,2023,5461295.03,5783000.0,5.890635247369152,5034047.2
MRT,Mauritania,2022,1634594.51,1705161.912,4.317119724083742,2125991.097
