reporterISO,reporterDesc,demand,growth_percentage,gdp_per_capita,logistics_lpi,demand_log,demand_norm,growth_norm,gdp_norm,logistics_norm,market_score,market_score_100,rank
LVA,Latvia,31346695.459,-12.369076420959491,23578.9663562625,3.5,17.2606194433823,0.42076085325950446,0.09031303277168032,0.16801601192726756,0.6363636363636364,0.3154246956981368,31.54246956981368,58
GEO,Georgia,32432153.034,22.007837264472506,8967.67525638987,2.7,17.294660897107633,0.4243877222622186,0.4484719520651608,0.061570554759935496,0.2727272727272728,0.3126726811789976,31.26726811789976,59
CRI,Costa Rica,21522623.2,15.999688977064608,18853.2828705886,2.9,16.884615228202673,0.38070034221528926,0.38587552711369993,0.13358869570843904,0.3636363636363636,0.310718435995998,31.071843599599802,60
MNE,Montenegro,25796617.141,19.028492541064956,13270.1824401005,2.8,17.065753961493936,0.3999993551853518,0.41743138524456863,0.0929149678583646,0.3181818181818181,0.3097962854220001,30.97962854220001,61
SRB,Serbia,41155648.0,8.386964813720056,13677.7794863909,2.8,17.53287175391586,0.44976735439070165,0.3065616863142482,0.09588437375383774,0.3181818181818181,0.3081234264971706,30.81234264971706,62
OMN,Oman,27387178.111,-5.064096354284198,20285.2272765262,3.3,17.12558554619467,0.4063739748383565,0.16642061444936812,0.1440206264588681,0.5454545454545454,0.3064560199351717,30.645601993517168,63
BIH,Bosnia Herzegovina,36915023.099,6.0239931140409375,9397.90942855997,3.0,17.424129183299247,0.43818162536082345,0.2819428564209527,0.06470487552821134,0.4090909090909091,0.30596583289779855,30.596583289779854,64
CHL,Chile,71301016.28,-14.215739560905005,16658.9652720351,3.0,18.082421152884425,0.5083178410021477,0.0710734093268836,0.11760276138191086,0.4090909090909091,0.3024260069062543,30.24260069062543,65
IND,India,48455243.059,-9.977129293622532,2591.9916607122,3.4,17.69615112695577,0.46716358257881646,0.1152337457237914,0.015122739131781667,0.5909090909090909,0.30157309363900486,30.157309363900488,66
ALB,Albania,18200434.557,31.32130015153831,11374.0085781236,2.5,16.716956083463963,0.36283748124640325,0.5455050898574287,0.07910105557455306,0.1818181818181818,0.29732894885768496,29.732894885768495,67
COL,Colombia,28123030.33,8.797032493700897,7951.08624019412,2.9,17.152099418883388,0.40919883489787434,0.3108340127494558,0.05416455060598444,0.3636363636363636,0.2912247011756923,29.122470117569232,68
ARM,Armenia,15780482.02,30.090881519643165,8556.21406956719,2.5,16.574284482545984,0.3476368611109612,0.5326858643879568,0.058572998018468964,0.1818181818181818,0.2845792441983969,28.457924419839692,69
ATG,Antigua and Barbuda,6929787.019,21.684768517497943,23059.8330702839,2.9,15.751339781809348,0.2599580959756052,0.4451060317171993,0.1642340477203363,0.3636363636363636,0.2803967088232038,28.03967088232038,70
GTM,Guatemala,26046926.0,14.06176308364051,6150.89465281457,2.6,17.075410353754123,0.4010281734623003,0.36568507459050675,0.04104988365440534,0.2272727272727273,0.27584917012481164,27.584917012481164,71
UZB,Uzbekistan,14461771.89,27.4453627060532,3337.45492058664,2.6,16.48701937368002,0.33833939923056844,0.5051232923689485,0.020553551300014777,0.2272727272727273,0.27456203751692915,27.456203751692914,72
FJI,Fiji,7916682.485,47.38428894865623,6425.74151715712,2.3,15.884482924195611,0.274143528241247,0.712858761011365,0.04305218447272286,0.0909090909090908,0.27447596402967994,27.447596402967996,73
PER,Peru,24904148.705,-4.161939994943364,8526.29665719783,3.0,17.030545002368843,0.3962480969841311,0.17581981036474145,0.05835504516165757,0.4090909090909091,0.26669784626256865,26.669784626256863,74
BRA,Brazil,11133998.0,3.9170309056475894,10310.5486973693,3.2,16.225513957910604,0.31047790147701765,0.25999128408215494,0.07135359011019074,0.5000000000000001,0.2654601354292762,26.54601354292762,75
