"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bulgaria","BGR","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.001453","","74.7246702","","73.2340119","","72.8153453","69.2294032","66.783822","71.1109125","71.3715435","72.001074","72.8453645","72.4408107","72.2769025","71.1650355","72.5755043","68.8062834","70.0293534","69.0099166","69.4354757","72.8319025","76.0222279","75.7815088","73.0865465","72.8363232","71.4796205","71.2660202","66.5764069","",
"Bulgaria","BGR","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.001453","","74.7246702","","73.2340119","","72.8153453","69.2294032","66.783822","71.1109125","71.3715435","72.001074","72.8453645","72.4408107","72.2769025","71.1650355","72.5755043","68.8062834","70.0293534","69.0099166","69.4354757","72.8319025","76.0222279","75.7815088","73.0865465","72.8363232","71.4796205","71.2660202","66.5764069","",
"Bahrain","BHR","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.9200024","","64.096396","","68.023227","","74.0897249","71.7433502","68.471918","65.0129793","61.190317","62.8149992","62.209313","62.4608345","53.3027001","45.7803528","48.2073407","43.8240398","48.0587666","49.5227401","50.3534303","48.6996051","51.0725144","55.5880047","55.7056542","57.2832784","57.6516738","57.3408912","61.18214","",
"Bahrain","BHR","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.9200024","","64.096396","","68.023227","","74.0897249","71.7433502","68.471918","65.0129793","61.190317","62.8149992","62.209313","62.4608345","53.3027001","45.7803528","48.2073407","43.8240398","48.0587666","49.5227401","50.3534303","48.6996051","51.0725144","55.5880047","55.7056542","57.2832784","57.6516738","57.3408912","61.18214","",
"Bahamas, The","BHS","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.2823744","","83.2930999","","83.8862072","","79.9840403","78.6316576","77.6911378","80.5665707","79.1543699","77.5803124","77.935198","80.2988593","81.5678651","82.5956018","82.9628972","82.7534956","79.9482492","78.5985876","79.516042","79.8785392","78.0748811","77.7277659","78.0795854","78.5934221","80.5722982","83.8979013","83.8182788","",
"Bahamas, The","BHS","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.2823744","","83.2930999","","83.8862072","","79.9840403","78.6316576","77.6911378","80.5665707","79.1543699","77.5803124","77.935198","80.2988593","81.5678651","82.5956018","82.9628972","82.7534956","79.9482492","78.5985876","79.516042","79.8785392","78.0748811","77.7277659","78.0795854","78.5934221","80.5722982","83.8979013","83.8182788","",
"Bosnia and Herzegovina","BIH","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.9853923","","52.9475378","","52.955959","","60.1374037","57.6321188","61.0816575","55.7118361","59.2929885","57.6957734","58.4758337","55.8255944","55.068748","54.4509441","55.8057131","58.1485349","64.8606336","61.5368736","59.5572972","60.5803364","60.9490035","60.6128666","61.298956","60.5871127","61.657193","62.4793902","57.3354627","",
"Bosnia and Herzegovina","BIH","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.9853923","","52.9475378","","52.955959","","60.1374037","57.6321188","61.0816575","55.7118361","59.2929885","57.6957734","58.4758337","55.8255944","55.068748","54.4509441","55.8057131","58.1485349","64.8606336","61.5368736","59.5572972","60.5803364","60.9490035","60.6128666","61.298956","60.5871127","61.657193","62.4793902","57.3354627","",
"Belarus","BLR","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.5818795","","69.6151758","","70.401312","","71.6950759","78.2534316","66.1808363","71.672412","68.9513011","71.421362","73.4739606","71.9312649","64.437893","64.4963036","65.9563004","66.1967581","68.2003666","67.8851086","69.3580687","66.3479286","70.4663947","73.1679864","51.9165453","55.3657663","55.357111","59.1880459","59.4495003","",
"Belarus","BLR","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.5818795","","69.6151758","","70.401312","","71.6950759","78.2534316","66.1808363","71.672412","68.9513011","71.421362","73.4739606","71.9312649","64.437893","64.4963036","65.9563004","66.1967581","68.2003666","67.8851086","69.3580687","66.3479286","70.4663947","73.1679864","51.9165453","55.3657663","55.357111","59.1880459","59.4495003","",
